AllGra,AriBis,BraSim,DerLae,DerRet,EupEmi,LeaAlt,LisFul,MacInd,MarDus,MilGag,SubOct
0,0,1,0,0,0,1,2,0,1,0,0
0,0,2,0,0,0,4,7,0,2,1,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,2,0,2,0,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,5,0,0,2,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,6,0,0,0,0,0,0,0
0,0,3,0,24,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,0,0
0,0,4,0,9,0,0,0,0,0,0,0
0,0,2,1,3,0,0,0,0,0,0,0
0,0,9,2,11,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,13,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,0,0
0,0,3,1,7,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,3,0,4,0,0,1,0,0,0,0
0,0,11,0,16,0,0,2,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,2,0,6,0,0,0,0,0,0,0
0,0,7,1,23,0,0,1,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,9,0,0,0,0,0,0,0
0,0,1,0,2,0,0,1,0,1,0,0
0,0,5,0,7,0,0,2,0,4,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,0,0
0,0,5,0,8,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0
