DS,Site,Crop,Initial.cost,Fertilizers,Molluscide,Pesticides,Labor.cost,Investment,Sales,Profit,total..Waste.Sale.,yield,Attainable.Yeild,Damage,IC,F,M,P,LC,Yield,E,PH,RF,RH,T
KT,Mahaweligama,Banana pepper,5000,35000,0,30000,150000,220000,270000,50000,490000,103,105,1,8.517193191,10.46310334,0,10.30895266,11.91839057,4.634728988,1096,6.06,2.0875,83.35,22.9
AG,Nallatanniya,Banana pepper,3000,4000,1500,5000,30000,43500,97000,53500,140500,103,105,1,8.006367568,8.29404964,7.313220387,8.517193191,10.30895266,4.634728988,1234,5.395,6.885,86.65,23.8
AG,Bogawanthalawa,Banana pepper,7000,40000,5000,13500,30000,95500,150000,54500,245500,63,64,2,8.853665428,10.59663473,8.517193191,9.510444964,10.30895266,4.143134726,1313,7.185,8.165,84.2,22.5
WP,Lidesdialwatta,Banana pepper,3000,15000,2500,10000,0,30500,83500,53000,114000,49,51,4,8.006367568,9.61580548,7.824046011,9.210340372,0,3.891820298,1623,5.545,7.35,81.275,22.4
NE,Talawakele,Banana pepper,3000,15000,4000,12000,50000,84000,135000,51000,219000,34,37,9,8.006367568,9.61580548,8.29404964,9.392661929,10.81977828,3.526360525,1206,6.92,6.2425,86.3,21.2
NE,Ardlei,Beans,2000,3000,0,7000,0,12000,23000,11000,35000,103,105,1,7.60090246,8.006367568,0,8.853665428,0,4.634728988,1379,6.79,5.4,90.6,21
AG,BogawanthalawaD,Beans,3000,3000,0,5000,0,11000,23000,12000,34000,103,105,1,8.006367568,8.006367568,0,8.517193191,0,4.634728988,1313,7.185,8.165,84.2,22.5
NE,Talawakele,Beans,3000,5000,0,13000,50000,71000,85000,14000,156000,71,72,2,8.006367568,8.517193191,0,9.472704636,10.81977828,4.262679877,1206,6.92,6.2425,86.3,21.2
NE,Lindula,Beans,3000,5000,0,12000,0,20000,37000,17000,57000,63,64,2,8.006367568,8.517193191,0,9.392661929,0,4.143134726,1262,5.705,4.465,92.65,21.3
NE,Waverley,Beans,1500,3000,0,7000,0,11500,25000,13500,36500,63,64,2,7.313220387,8.006367568,0,8.853665428,0,4.143134726,1388,5.8675,4.1,86.45,23.8
NE,Agarapathana,Beans,2000,3000,0,15000,20000,40000,52000,12000,92000,47,48,4,7.60090246,8.006367568,0,9.61580548,9.903487553,3.850147602,1387,6.885,4.754,85.11,22.48
KT,Mawela,Beans,1000,3000,0,3000,0,7000,23000,16000,30000,43,45,5,6.907755279,8.006367568,0,8.006367568,0,3.761200116,817,5.085,9.89,91.4,21.4
HK,Adikarigama,Beans,2000,2000,0,5000,0,9000,25000,16000,34000,40,42,6,7.60090246,7.60090246,0,8.517193191,0,3.688879454,525,7.846666667,3.366666667,86.2,24.2
AG,Hebbekanda,Beans,2500,3000,0,4000,0,9500,26000,16500,35500,40,42,6,7.824046011,8.006367568,0,8.29404964,0,3.688879454,790,5.85,4.206666667,98.06666667,25.16666667
