DS,Site,Crop,Field Type,Stage,Part,Season,Richness,Shannon,Abundance,Damage,E,PH,RF,RH,T
AG,Ambagamuwa,Cabbage,Agriculture,Mature,Leaf,non-rainy,4,1.33217904,5,3.5,613,6.35,3.2,88,27.3
AG,Ambagamuwa,Cabbage,Agriculture,Mature,Leaf,rainy,5,1.401392647,16,13,613,6.695,3.765,90.65,24.7
AG,Ambagamuwa,Radish,Agriculture,Mature,Leaf,non-rainy,1,0,1,3,613,6.35,3.2,88,27.3
AG,Ambagamuwa,Radish,Agriculture,Mature,Leaf,rainy,1,0,4,14,613,6.695,3.765,90.65,24.7
AG,Ambagamuwa,Tomato,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,2,613,6.35,3.2,88,27.3
AG,Ambagamuwa,Tomato,Agriculture,Mature,Leaf,rainy,2,0.693147181,4,8,613,6.695,3.765,90.65,24.7
AG,Bagathulawagama,Cabbage,Polytunnel,Mature,Leaf,non-rainy,1,0,1,3,608,5.17,3.2,93.3,25.2
AG,Bagathulawagama,Cabbage,Polytunnel,Mature,Leaf,rainy,1,0,3,14,608,5.01,3.85,95.75,24.7
AG,Bloomfield,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,3.5,1096,5.37,1,52.1,23.7
AG,Bloomfield,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.598269589,7,16,1096,5.385,5.835,72.9,22.7
AG,Bogawanthalawa,Banana pepper,Agriculture,Mature,Leaf,rainy,1,0,1,2,1313,7.185,8.165,84.2,22.5
AG,Bogawanthalawa,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.410116318,7,7.5,1313,6.86,5,77.3,22.8
AG,Bogawanthalawa,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.348832096,27,31,1313,7.185,8.165,84.2,22.5
AG,Bogawanthalawa,Carrot,Agriculture,Mature,Leaf,non-rainy,1,0,1,0,1313,6.86,5,77.3,22.8
AG,Bogawanthalawa,Carrot,Agriculture,Mature,Leaf,rainy,1,0,2,1,1313,7.185,8.165,84.2,22.5
AG,Bogawanthalawa,Chinese cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,3,1.5,1313,6.86,5,77.3,22.8
AG,Bogawanthalawa,Chinese cabbage,Agriculture,Mature,Leaf,rainy,2,0.61724177,13,6,1313,7.185,8.165,84.2,22.5
AG,Bogawanthalawa,Leeks,Agriculture,Mature,Leaf,non-rainy,3,1.011404265,6,8.333333333,1313,6.86,5,77.3,22.8
AG,Bogawanthalawa,Leeks,Agriculture,Mature,Leaf,rainy,3,0.930216837,22,35.66666667,1313,7.185,8.165,84.2,22.5
AG,Bogawanthalawa,Leeks,Agriculture,Mature,Stem,non-rainy,1,0,3,4,1313,6.86,5,77.3,22.8
AG,Bogawanthalawa,Leeks,Agriculture,Mature,Stem,rainy,1,0,13,16,1313,7.185,8.165,84.2,22.5
AG,Bogawanthalawa,Lettuce,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,3,4,1313,6.86,5,77.3,22.8
AG,Bogawanthalawa,Lettuce,Agriculture,Mature,Leaf,rainy,3,0.859967281,11,12,1313,7.185,8.165,84.2,22.5
AG,Bogawanthalawa,Onion,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,1313,6.86,5,77.3,22.8
AG,Bogawanthalawa,Onion,Agriculture,Mature,Leaf,rainy,1,0,3,3,1313,7.185,8.165,84.2,22.5
AG,BogawanthalawaD,Beans,Agriculture,Mature,Pod,rainy,1,0,1,1,1313,7.185,8.165,84.2,22.5
AG,BogawanthalawaD,Cabbage,Agriculture,Mature,Leaf,non-rainy,3,0.974314753,8,6.666666667,1313,6.86,5,77.7,23.5
AG,BogawanthalawaD,Cabbage,Agriculture,Mature,Leaf,rainy,3,0.880241971,29,28.33333333,1313,7.185,8.165,84.2,22.5
AG,BogawanthalawaD,Carrot,Agriculture,Mature,Leaf,non-rainy,1,0,1,0,1313,6.86,5,77.7,23.5
AG,BogawanthalawaD,Carrot,Agriculture,Mature,Leaf,rainy,1,0,3,2,1313,7.185,8.165,84.2,22.5
AG,BogawanthalawaD,Leeks,Agriculture,Mature,Leaf,non-rainy,2,0.562335145,8,12,1313,6.86,5,77.7,23.5
